iteration,learning_rate,success,test,db,tag
165,0.5,91.76261659659664,train,flue,shuffle
165,0.5,91.8427726860853,test,flue,shuffle
166,0.5,91.77905862328551,train,flue,shuffle
166,0.5,91.85589086934428,test,flue,shuffle
167,0.5,91.79518434256383,train,flue,shuffle
167,0.5,91.86871819941157,test,flue,shuffle
168,0.5,91.81100226677039,train,flue,shuffle
168,0.5,91.88126264081238,test,flue,shuffle
169,0.5,91.82652079364316,train,flue,shuffle
169,0.5,91.89353216353177,test,flue,shuffle
170,0.5,91.84174818439325,train,flue,shuffle
170,0.5,91.90553472490176,test,flue,shuffle
171,0.5,91.85669254421289,train,flue,shuffle
171,0.5,91.91727825174283,test,flue,shuffle
172,0.5,91.87136180547029,train,flue,shuffle
172,0.5,91.9287706229047,test,flue,shuffle
173,0.5,91.88576371386421,train,flue,shuffle
173,0.5,91.94001965236431,test,flue,shuffle
174,0.5,91.89990581777766,train,flue,shuffle
174,0.5,91.95103307304345,test,flue,shuffle
175,0.5,91.91379546098989,train,flue,shuffle
175,0.5,91.96181852150022,test,flue,shuffle
176,0.5,91.9274397787883,train,flue,shuffle
176,0.5,91.97238352362976,test,flue,shuffle
177,0.5,91.94084569738182,train,flue,shuffle
177,0.5,91.98273548147996,test,flue,shuffle
178,0.5,91.95401993637304,train,flue,shuffle
178,0.5,91.99288166125366,test,flue,shuffle
179,0.5,91.96696901391486,train,flue,shuffle
179,0.5,92.00282918253008,test,flue,shuffle
180,0.5,91.97969925407206,train,flue,shuffle
180,0.5,92.01258500870418,test,flue,shuffle
181,0.5,91.99221679584171,train,flue,shuffle
181,0.5,92.02215593861123,test,flue,shuffle
182,0.5,92.00452760325776,train,flue,shuffle
182,0.5,92.03154859928104,test,flue,shuffle
183,0.5,92.01663747602115,train,flue,shuffle
183,0.5,92.0407694397524,test,flue,shuffle
184,0.5,92.02855206014449,train,flue,shuffle
184,0.5,92.04982472587153,test,flue,shuffle
185,0.5,92.0402768581781,train,flue,shuffle
185,0.5,92.05872053600079,test,flue,shuffle
186,0.5,92.05181723867675,train,flue,shuffle
186,0.5,92.06746275756996,test,flue,shuffle
187,0.5,92.0631784446692,train,flue,shuffle
187,0.5,92.07605708441424,test,flue,shuffle
188,0.5,92.07436560099063,train,flue,shuffle
188,0.5,92.0845090148547,test,flue,shuffle
189,0.5,92.08538372043058,train,flue,shuffle
189,0.5,92.09282385048951,test,flue,shuffle
190,0.5,92.09623770872459,train,flue,shuffle
190,0.5,92.10100669567403,test,flue,shuffle
191,0.5,92.10693236848026,train,flue,shuffle
191,0.5,92.10906245767617,test,flue,shuffle
192,0.5,92.11747240217028,train,flue,shuffle
192,0.5,92.11699584749658,test,flue,shuffle
193,0.5,92.12786241435286,train,flue,shuffle
193,0.5,92.12481138134562,test,flue,shuffle
194,0.5,92.13810691329192,train,flue,shuffle
194,0.5,92.13251338276596,test,flue,shuffle
195,0.5,92.14821031214953,train,flue,shuffle
195,0.5,92.14010598538628,test,flue,shuffle
196,0.5,92.15817692991443,train,flue,shuffle
196,0.5,92.14759313628478,test,flue,shuffle
197,0.5,92.1680109922147,train,flue,shuffle
197,0.5,92.15497859993528,test,flue,shuffle
198,0.5,92.17771663214346,train,flue,shuffle
198,0.5,92.16226596270067,test,flue,shuffle
199,0.5,92.18729789120584,train,flue,shuffle
199,0.5,92.16945863783317,test,flue,shuffle
200,0.5,92.19675872047426,train,flue,shuffle
200,0.5,92.17655987093407,test,flue,shuffle
201,0.5,92.20610298201997,train,flue,shuffle
201,0.5,92.18357274582259,test,flue,shuffle
202,0.5,92.21533445067092,train,flue,shuffle
202,0.5,92.1905001907607,test,flue,shuffle
203,0.5,92.22445681613226,train,flue,shuffle
203,0.5,92.19734498497981,test,flue,shuffle
204,0.5,92.23347368549341,train,flue,shuffle
204,0.5,92.20410976545661,test,flue,shuffle
205,0.5,92.24238858613752,train,flue,shuffle
205,0.5,92.21079703388813,test,flue,shuffle
206,0.5,92.25120496906322,train,flue,shuffle
206,0.5,92.21740916381978,test,flue,shuffle
207,0.5,92.25992621262486,train,flue,shuffle
207,0.5,92.22394840788655,test,flue,shuffle
208,0.5,92.26855562669697,train,flue,shuffle
208,0.5,92.23041690513331,test,flue,shuffle
209,0.5,92.2770964572689,train,flue,shuffle
209,0.5,92.23681668838867,test,flue,shuffle
210,0.5,92.28555189147852,train,flue,shuffle
210,0.5,92.24314969167449,test,flue,shuffle
211,0.5,92.29392506309658,train,flue,shuffle
211,0.5,92.24941775764289,test,flue,shuffle
212,0.5,92.30221905847837,train,flue,shuffle
212,0.5,92.25562264504133,test,flue,shuffle
213,0.5,92.3104369230045,train,flue,shuffle
213,0.5,92.26176603621713,test,flue,shuffle
214,0.5,92.31858166803707,train,flue,shuffle
214,0.5,92.26784954468265,test,flue,shuffle
215,0.5,92.3266562784239,train,flue,shuffle
215,0.5,92.27387472277347,test,flue,shuffle
216,0.5,92.33466372058844,train,flue,shuffle
216,0.5,92.27984306944307,test,flue,shuffle
217,0.5,92.3426069512479,train,flue,shuffle
217,0.5,92.28575603824997,test,flue,shuffle
218,0.5,92.35048892680622,train,flue,shuffle
218,0.5,92.2916150456054,test,flue,shuffle
219,0.5,92.35831261347222,train,flue,shuffle
219,0.5,92.29742147936402,test,flue,shuffle
220,0.5,92.36608099815432,train,flue,shuffle
220,0.5,92.30317670785433,test,flue,shuffle
221,0.5,92.37379710018352,train,flue,shuffle
221,0.5,92.30888208946241,test,flue,shuffle
222,0.5,92.38146398391301,train,flue,shuffle
222,0.5,92.31453898289959,test,flue,shuffle
223,0.5,92.3890847722362,train,flue,shuffle
223,0.5,92.32014875830501,test,flue,shuffle
224,0.5,92.39666266105415,train,flue,shuffle
224,0.5,92.32571280935504,test,flue,shuffle
225,0.5,92.4042009347053,train,flue,shuffle
225,0.5,92.33123256657565,test,flue,shuffle
226,0.5,92.4117029823457,train,flue,shuffle
226,0.5,92.33670951207942,test,flue,shuffle
227,0.5,92.41917231523324,train,flue,shuffle
227,0.5,92.34214519597685,test,flue,shuffle
228,0.5,92.42661258482076,train,flue,shuffle
228,0.5,92.34754125474213,test,flue,shuffle
229,0.5,92.43402760150227,train,flue,shuffle
229,0.5,92.35289943184381,test,flue,shuffle
230,0.5,92.44142135377444,train,flue,shuffle
230,0.5,92.35822160098415,test,flue,shuffle
231,0.5,92.44879802747587,train,flue,shuffle
231,0.5,92.36350979232178,test,flue,shuffle
232,0.5,92.45616202463984,train,flue,shuffle
232,0.5,92.36876622208243,test,flue,shuffle
233,0.5,92.46351798134803,train,flue,shuffle
233,0.5,92.37399332599055,test,flue,shuffle
234,0.5,92.47087078379592,train,flue,shuffle
234,0.5,92.37919379697445,test,flue,shuffle
235,0.5,92.47822558158464,train,flue,shuffle
235,0.5,92.38437062761359,test,flue,shuffle
236,0.5,92.48558779704177,train,flue,shuffle
236,0.5,92.3895271578029,test,flue,shuffle
237,0.5,92.49296312916356,train,flue,shuffle
237,0.5,92.39466712810707,test,flue,shuffle
238,0.5,92.50035755058302,train,flue,shuffle
238,0.5,92.39979473927067,test,flue,shuffle
239,0.5,92.50777729583832,train,flue,shuffle
239,0.5,92.40491471834159,test,flue,shuffle
240,0.5,92.51522883918945,train,flue,shuffle
240,0.5,92.41003239186914,test,flue,shuffle
241,0.5,92.5227188603636,train,flue,shuffle
241,0.5,92.41515376666746,test,flue,shuffle
242,0.5,92.53025419696736,train,flue,shuffle
242,0.5,92.420285618717,test,flue,shuffle
243,0.5,92.53784178294615,train,flue,shuffle
243,0.5,92.42543559093765,test,flue,shuffle
244,0.5,92.54548857344251,train,flue,shuffle
244,0.5,92.43061230083848,test,flue,shuffle
245,0.5,92.5532014577059,train,flue,shuffle
245,0.5,92.43582545945327,test,flue,shuffle
246,0.5,92.56098716326794,train,flue,shuffle
246,0.5,92.44108600350867,test,flue,shuffle
247,0.5,92.56885215624943,train,flue,shuffle
247,0.5,92.4464062434043,test,flue,shuffle
248,0.5,92.57680254411768,train,flue,shuffle
248,0.5,92.45180003020275,test,flue,shuffle
249,0.5,92.5848439880536,train,flue,shuffle
249,0.5,92.4572829452327,test,flue,shuffle
250,0.5,92.59298163183016,train,flue,shuffle
250,0.5,92.4628725157713,test,flue,shuffle
251,0.5,92.60122005225911,train,flue,shuffle
251,0.5,92.46858845911855,test,flue,shuffle
252,0.5,92.60956323248291,train,flue,shuffle
252,0.5,92.47445295454956,test,flue,shuffle
253,0.5,92.61801455360825,train,flue,shuffle
253,0.5,92.48049093726651,test,flue,shuffle
254,0.5,92.62657679276349,train,flue,shuffle
254,0.5,92.48673039946715,test,flue,shuffle
255,0.5,92.6352521074935,train,flue,shuffle
255,0.5,92.49320266962229,test,flue,shuffle
256,0.5,92.64404197889526,train,flue,shuffle
256,0.5,92.49994262040694,test,flue,shuffle
257,0.5,92.65294708093643,train,flue,shuffle
257,0.5,92.50698872684495,test,flue,shuffle
258,0.5,92.66196704325903,train,flue,shuffle
258,0.5,92.51438285814856,test,flue,shuffle
259,0.5,92.67110008199735,train,flue,shuffle
259,0.5,92.52216964059005,test,flue,shuffle
260,0.5,92.68034249032418,train,flue,shuffle
260,0.5,92.53039518036722,test,flue,shuffle
261,0.5,92.68968800964991,train,flue,shuffle
261,0.5,92.5391048992513,test,flue,shuffle
262,0.5,92.69912714385558,train,flue,shuffle
262,0.5,92.54834023926327,test,flue,shuffle
263,0.5,92.70864652863534,train,flue,shuffle
263,0.5,92.55813407811566,test,flue,shuffle
264,0.5,92.71822851465517,train,flue,shuffle
264,0.5,92.56850491575696,test,flue,shuffle
265,0.5,92.72785114649956,train,flue,shuffle
265,0.5,92.57945028115536,test,flue,shuffle
266,0.5,92.73748869392094,train,flue,shuffle
266,0.5,92.59094034722631,test,flue,shuffle
267,0.5,92.74711280153305,train,flue,shuffle
267,0.5,92.60291330037373,test,flue,shuffle
268,0.5,92.75669418312154,train,flue,shuffle
268,0.5,92.6152743260953,test,flue,shuffle
269,0.5,92.76620465558723,train,flue,shuffle
269,0.5,92.62789981103295,test,flue,shuffle
270,0.5,92.7756192564884,train,flue,shuffle
270,0.5,92.64064730584283,test,flue,shuffle
271,0.5,92.78491822907188,train,flue,shuffle
271,0.5,92.6533700749796,test,flue,shuffle
272,0.5,92.7940886988566,train,flue,shuffle
272,0.5,92.6659332805276,test,flue,shuffle
273,0.5,92.80312580067623,train,flue,shuffle
273,0.5,92.67822788973913,test,flue,shuffle
274,0.5,92.8120328883229,train,flue,shuffle
274,0.5,92.69017892395485,test,flue,shuffle
275,0.5,92.82082048749024,train,flue,shuffle
275,0.5,92.70174660266505,test,flue,shuffle
276,0.5,92.82950400383247,train,flue,shuffle
276,0.5,92.71292135943561,test,flue,shuffle
277,0.5,92.8381007419671,train,flue,shuffle
277,0.5,92.72371539400537,test,flue,shuffle
278,0.5,92.84662714773563,train,flue,shuffle
278,0.5,92.7341536919839,test,flue,shuffle
279,0.5,92.85509705771389,train,flue,shuffle
279,0.5,92.74426654382444,test,flue,shuffle
280,0.5,92.86352119284412,train,flue,shuffle
280,0.5,92.75408434327612,test,flue,shuffle
281,0.5,92.87190754563863,train,flue,shuffle
281,0.5,92.76363452243359,test,flue,shuffle
282,0.5,92.88026205002224,train,flue,shuffle
282,0.5,92.77294008321019,test,flue,shuffle
283,0.5,92.88858906100333,train,flue,shuffle
283,0.5,92.78201916222994,test,flue,shuffle
284,0.5,92.89689149597544,train,flue,shuffle
284,0.5,92.79088519803733,test,flue,shuffle
285,0.5,92.90517074634234,train,flue,shuffle
285,0.5,92.7995474176342,test,flue,shuffle
286,0.5,92.91342655102572,train,flue,shuffle
286,0.5,92.808011472217,test,flue,shuffle
287,0.5,92.92165697421387,train,flue,shuffle
287,0.5,92.81628012416081,test,flue,shuffle
288,0.5,92.92985853810067,train,flue,shuffle
288,0.5,92.82435392874926,test,flue,shuffle
289,0.5,92.93802648917469,train,flue,shuffle
289,0.5,92.83223187668266,test,flue,shuffle
290,0.5,92.9461551426164,train,flue,shuffle
